,RO_0,RO_1,RO_2,RO_3,RO_4,RO_5,RO_6,RO_7,RO_8,RO_9,RO_10,RO_11,RO_12,RO_13,RO_14,RO_15,RO_16,RO_17,RO_18,RO_19,Temperature,vccint,vbram,vccaux,time
0,2,474091,469623,467351,462503,460097,467021,417131,460705,460749,456688,419342,367589,367844,456292,456848,452467,373976,466581,419910,50.078106689453136,1.023193359375,1.0224609375,1.803955078125,2024-06-03 01:53:23.578034
1,2,474658,469750,467481,462706,460146,467167,417222,460870,461011,456781,419454,367746,368021,456517,456950,452488,374139,466795,420014,50.32418823242193,1.023193359375,1.0224609375,1.803955078125,2024-06-03 01:53:26.597830
2,2,474060,469639,467232,462318,460015,467059,417031,460674,460785,456677,419300,367501,367651,456241,456882,452297,373902,466454,419746,50.078106689453136,1.023193359375,1.0224609375,1.803955078125,2024-06-03 01:53:29.621604
3,2,474566,469829,467470,462987,460326,467324,417358,460787,460994,456825,419516,367824,368076,456474,457040,452491,374165,466716,420136,50.201147460937534,1.023193359375,1.0224609375,1.803955078125,2024-06-03 01:53:32.642331
4,2,474439,469795,467521,462734,460473,467303,417367,460827,461044,456971,419627,367826,368078,456667,457245,452678,374210,466777,420156,50.81635131835941,1.023193359375,1.0224609375,1.803955078125,2024-06-03 01:53:35.662615
5,2,474721,470110,467810,463273,460302,467519,417334,460840,461140,457115,419691,367932,368359,456697,457142,452338,374409,467020,420215,50.078106689453136,1.023193359375,1.0224609375,1.803955078125,2024-06-03 01:53:38.682614
6,2,474240,469675,467279,462272,459726,467212,417067,460584,460794,456684,419160,367486,367856,456199,456740,452121,373800,466583,419789,50.57026977539067,1.023193359375,1.0224609375,1.803955078125,2024-06-03 01:53:41.707211
7,2,474557,469822,467494,462864,460265,467480,417288,460993,461083,456996,419592,367887,368146,456690,457331,452505,374215,467001,420024,50.57026977539067,1.023193359375,1.0224609375,1.803955078125,2024-06-03 01:53:44.728016
8,2,474549,470021,467578,462928,460295,467501,417333,460909,461080,456943,419472,367864,368096,456705,457077,452444,374209,466927,420026,50.44722900390627,1.023193359375,1.0224609375,1.803955078125,2024-06-03 01:53:47.748497
9,2,474676,469936,467677,462916,460401,467604,417448,461055,461286,457120,419603,367881,368211,456819,457465,452750,374317,467088,420207,50.44722900390627,1.023193359375,1.0224609375,1.803955078125,2024-06-03 01:53:50.768758
10,2,474538,469759,467566,462721,460286,467294,417101,460944,461054,456891,419487,367744,368020,456549,457189,452558,374061,466835,420125,50.93939208984381,1.023193359375,1.0224609375,1.803955078125,2024-06-03 01:53:53.788953
11,2,474531,469857,467497,462975,460173,467450,417255,460987,460941,456856,419615,367922,368002,456537,457147,452411,374035,466920,420052,50.32418823242193,1.023193359375,1.0224609375,1.803955078125,2024-06-03 01:53:56.810290
12,2,474611,470020,467723,463143,460251,467390,417428,460989,461097,456991,419724,367893,368236,456788,457230,452683,374269,466877,420115,50.81635131835941,1.023193359375,1.0224609375,1.803955078125,2024-06-03 01:53:59.830249
13,2,474487,469761,467593,462797,460344,467437,417303,460973,461136,456931,419553,367866,368112,456565,457165,452619,374154,466854,420066,50.32418823242193,1.023193359375,1.0224609375,1.803955078125,2024-06-03 01:54:02.850389
14,2,474269,469616,467209,462275,459807,467024,417125,460423,460942,456603,419215,367488,367745,456360,456918,452285,373890,466608,419693,50.32418823242193,1.023193359375,1.0224609375,1.803955078125,2024-06-03 01:54:05.873626
15,2,474632,470018,467581,463055,460213,467533,417455,461045,461173,457144,419605,367956,368178,456723,457338,452643,374249,467002,420269,50.81635131835941,1.023193359375,1.0224609375,1.803955078125,2024-06-03 01:54:08.897360
16,2,474574,469908,467526,462766,460231,467493,417417,461063,461054,457049,419619,367902,368163,456724,457253,452657,374207,466897,420103,50.69331054687501,1.023193359375,1.0224609375,1.803955078125,2024-06-03 01:54:11.917615
17,2,474598,470027,467699,462881,460194,467370,417391,460736,461034,456946,419542,367887,368065,456531,457235,452773,374156,466935,420205,50.57026977539067,1.023193359375,1.0224609375,1.803955078125,2024-06-03 01:54:14.937939
18,2,474521,470011,467637,463001,460356,467497,417455,461249,461287,457301,419575,367924,368252,456618,457387,452745,374275,466973,420217,50.81635131835941,1.023193359375,1.0224609375,1.803955078125,2024-06-03 01:54:17.958211
19,2,474465,469780,467371,462420,460278,467334,417190,460915,460964,456882,419396,367903,368054,456555,457210,452560,374101,466759,420053,50.44722900390627,1.023193359375,1.0224609375,1.803955078125,2024-06-03 01:54:20.980822
20,2,474629,469893,467621,462857,460252,467378,417445,460788,461118,457001,419533,367943,368229,456628,457203,452777,374180,466912,420228,50.81635131835941,1.023193359375,1.0224609375,1.803955078125,2024-06-03 01:54:24.001048
21,2,474615,470133,467666,463085,460273,467526,417281,460859,461013,457097,419642,367952,368187,456674,457256,452655,374173,466977,420343,50.32418823242193,1.023193359375,1.0224609375,1.803955078125,2024-06-03 01:54:27.022168
22,2,474625,470001,467669,462906,460300,467373,417377,461011,461006,457050,419581,367941,368130,456609,457214,452660,374169,466914,420260,50.93939208984381,1.023193359375,1.0224609375,1.803955078125,2024-06-03 01:54:30.042124
23,2,474686,470105,467590,462953,460341,467415,417200,460931,461168,456898,419536,367955,368115,456701,457229,452643,374206,467034,420250,51.06243286132815,1.023193359375,1.0224609375,1.803955078125,2024-06-03 01:54:33.062128
24,2,474635,469967,467682,462839,460309,467569,417217,460843,461023,456946,419508,367951,368163,456595,457316,452396,374205,466965,420220,50.57026977539067,1.023193359375,1.0224609375,1.803955078125,2024-06-03 01:54:36.082131
25,2,474704,469995,467643,463108,460395,467535,417166,460956,461000,456942,419543,367873,368050,456571,457217,452552,374189,466918,420236,50.69331054687501,1.023193359375,1.0224609375,1.803955078125,2024-06-03 01:54:39.102332
26,2,474619,470005,467761,462887,460493,467548,417304,460994,461155,457042,419625,368007,368237,456516,457173,452729,374250,467060,420280,50.81635131835941,1.023193359375,1.0224609375,1.803955078125,2024-06-03 01:54:42.125990
